SCREENWIDTH = 200
SCREENHEIGHT = 150
TICKRATE = 100000  # frame per sec
velocity = 2  # pixels per frame
apple_size = 2  # pixels
snake_size = 6  # pixels
positioner = snake_size//velocity
population_size = 100
parents_size = 10
idle_time = 2500  # ms
mutation_rate = 100  # per mile
mutation_frequency = 10  # percent
crossing_probability = 20  # percent
epoch_number = 10000

<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<Training>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

Epoch;Best;Average
265;46.236;14.48011
266;45.197;14.52696
267;47.247;14.55985
268;44.187;14.99118
269;53.24;15.73414
270;37.156;13.31043
271;45.215;13.51421
272;47.213;13.38251
273;45.216;15.60189
274;42.229;12.35783
275;47.185;15.82139
276;54.229;14.40826
277;51.221;14.38879
278;46.223;15.42226
279;50.268;14.08724
280;54.226;13.64396
281;45.243;14.76016
282;44.207;15.91444
283;42.223;14.05655
284;46.219;14.25635
285;60.263;14.77992
286;46.191;13.01065
287;48.254;14.286669999999999
288;50.224;14.75122
289;53.248;14.27683
290;51.231;15.44154
change -> bigger arena
291;42.196;12.68083
292;42.24;13.76458
293;35.157;14.44641
294;49.209;13.59392
