SCREENWIDTH = 18
SCREENHEIGHT = 18
TICKRATE = 100000  # frame per sec
velocity = 1  # pixels per frame
apple_size = 1  # pixels
snake_size = 1  # pixels
positioner = snake_size//velocity
population_size = 100
parents_size = 10
idle_time = 3000  # ms
mutation_rate = 100  # per mile
mutation_frequency = 15  # percent
crossing_probability = 10  # percent
epoch_number = 10000

<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<Training>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

Epoch;Best;Average;TheBestScore;BestEpoch;BestAverage;BestAverageEpoch
1;2.004;0.11039;2.004;1;0.11039;1
2;4.008;0.22075;4.008;2;0.22075;2
3;5.011;0.4112;5.011;3;0.4112;3
4;7.014;0.81229;7.014;4;0.81229;4
5;7.012;1.5332599999999998;7.014;4;1.5332599999999998;5
6;9.017;1.7231699999999999;9.017;6;1.7231699999999999;6
7;9.017;2.47438;9.017;6;2.47438;7
8;13.025;2.55452;13.025;8;2.55452;8
9;16.032;3.26566;16.032;9;3.26566;9
10;12.023;2.67475;16.032;9;3.26566;9
11;11.018;3.10528;16.032;9;3.26566;9
12;15.028;2.86489;16.032;9;3.26566;9
13;14.027;2.79482;16.032;9;3.26566;9
14;12.026;3.04519;16.032;9;3.26566;9
15;12.025;3.0554099999999997;16.032;9;3.26566;9
16;10.02;2.49429;16.032;9;3.26566;9
17;14.034;2.74468;16.032;9;3.26566;9
18;11.021;2.99518;16.032;9;3.26566;9
19;15.031;2.4944;16.032;9;3.26566;9
20;15.031;2.92504;16.032;9;3.26566;9
21;10.018;2.58459;16.032;9;3.26566;9
22;12.024;2.9653899999999997;16.032;9;3.26566;9
23;14.029;2.70476;16.032;9;3.26566;9
24;12.024;3.03532;16.032;9;3.26566;9
25;13.025;3.14547;16.032;9;3.26566;9
26;12.025;3.26573;16.032;9;3.26573;26
27;10.019;3.04527;16.032;9;3.26573;26
28;14.025;3.36605;16.032;9;3.36605;28
29;14.027;3.33598;16.032;9;3.36605;28
30;15.033;3.1854999999999998;16.032;9;3.36605;28
31;13.027;2.9250599999999998;16.032;9;3.36605;28
32;12.019;2.81478;16.032;9;3.36605;28
33;10.019;3.42602;16.032;9;3.42602;33
34;19.043;3.4563699999999997;19.043;34;3.4563699999999997;34
35;10.018;3.09548;19.043;34;3.4563699999999997;34
